,missionCandidate,missionId,status,Time_matching_score,Salary_matching_score,Hardskill_Matching_Score,Degree_Subjects_Matching_Score,Position_Matching_Score,Location_Matching_Score,Language_Matching_Score,Reason
18,rec1mIGi8qrfBetmy,recwMSrftJ7BbX5mZ,Rejected by CP,,-0.332,0.8,0.5,0.7,0.0,1.0,"The candidate has two hardskills which are related to the job requirements, and the candidate can speak all the languages required by the job. However, the candidate's degree subjects are not related to the job requirements, and the candidate's location is not the same as the job location."
19,,recGrGIFWaByaa5dg,Mission closed by client,,-1.1,0.8,0.6,0.9,0.0,1.0,"The candidate has 8 years of experience in growth hacking/marketing role in e-commerce industry, which is close to the job requirement. The candidate has a degree in marketing, which covers the skills required in the job. The candidate can speak all the languages required in the job. However, the candidate is located in a different country than the job location, so the location matching score is 0."
20,rec1S3lYXeRirIjJG,recwMSrftJ7BbX5mZ,Sent to Client,,-0.032,0.8,0.5,0.7,0.0,1.0,"The candidate has two hardskills which are related to the job requirements, and the candidate can speak all the languages required by the job. However, the candidate's degree subjects are not related to the job requirements, and the candidate's location is not the same as the job location."
21,rec1UYf09r7B0IoP0,reclHFyhFZjXOSbEp,Rejected by CP,,-0.0,0.8,0.5,0.7,1.0,0.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers some of the skills required for the job. The candidate's location matches the job location, but the candidate does not speak the required languages for the job."
22,,rec7MvbTywFTvWryg,Rejected by CP,,,0.8,0.6,0.9,1.0,1.0,"The candidate has experience in Ruby, PostgreSQL, Heroku, Typescript, React native, React, which are all required for the job. The candidate has a degree in Computer Science, which covers most of the skills required for the job. The candidate can work remotely or travel to the headquarters in Paris from time to time to meet the team. The candidate is native French. The candidate can speak both English and French, which are both required for the job."
23,rec23icxDcERAoGZf,reclHFyhFZjXOSbEp,Rejected by CP,,,0.8,0.5,0.7,0.0,0.0,The candidate has React hardskill which is related to the job requirement. The candidate's degree subjects are not related to the job requirement. The candidate has React hardskill and degree subjects which are related to the job position. The candidate's location is not matched with the job location. The candidate's language is not matched with the job language.
24,rec2cMxXDObOXGZkV,reczkFBZXTtSjNX96,Rejected by client,,,0.8,0.5,0.7,0.0,1.0,"The candidate has 3 out of 5 hardskills required in the job description, and the degree subject is related to the job position. The candidate can speak the language required in the job description, but the location is not matched."
25,rec2G9X4qqOll57vX,recGrGIFWaByaa5dg,Mission closed by client,,-1.2,0.8,0.5,0.7,1.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, which is 80% matched. The degree subjects of the candidate is not related to the job, so the score is 0.5. The candidate has 7 out of 10 hardskills and degree subjects required for the job, which is 70% matched. The candidate's location is matched with the job location, so the score is 1. The candidate's language is matched with the job language, so the score is 1."
26,rec2iDr1NCOV3wBs5,rec2jbStt0bBp170k,Rejected by CP,,,0.8,0.5,0.9,0.0,1.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. The candidate can speak both English and French which are required for the job, but the candidate's location does not match the job location."
27,rec2idvmCYbxhFklw,recwMSrftJ7BbX5mZ,Sent to Client,,,0.8,0.5,0.7,0.0,1.0,"Candidate has hardskills in MySQL and Python which are related to the job requirement. Candidate has degree in related field which covers some of the job requirement. Candidate can speak both English and Hindi which are required for the job. However, the candidate's location does not match with the job location."
28,rec2IVOhnFbQ2pXHh,rec7MvbTywFTvWryg,Rejected by client 3rd round,,-0.5,0.8,0.6,0.9,0.0,1.0,"The candidate has 8 out of 10 hardskills required by the job, and the degree subject covers 6 out of 10 skills required by the job. The candidate has all the language required by the job. The candidate has 9 out of 10 skills required by the job position. However, the candidate's location does not match with the job location."
29,rec2jHiGLOqTozp6O,recLaxiCREBzTpmDO,Sent to Client,,-0.1,0.5,0.8,0.7,1.0,1.0,"The candidate has 2-3 years of experience in Admin and Office management, and has business-strategy and microsoft-office hardskills. The degree subject International Business Management covers most of the job requirements. The candidate can go to Paris, and can speak both English and French which are the required languages of the job."
30,rec2lz6kUJwqLBzCn,recfkE9v9SjgMs0Ss,Screened by CP,,,0.8,0.5,0.7,1.0,0.0,"The candidate has 5 hardskills which are related to the job position, and the degree subject is related to the job position. The candidate can go to the job location, but the candidate can not speak the language required by the job."
31,rec2YMCKq5AZzrh7K,recUwquxTAuaSpYwc,Candidate not interested,,-0.8,0.8,0.6,0.9,1.0,1.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject covers most of the job requirement. The candidate's location is the same as the job location, and the candidate can speak all the languages required for the job."
32,,recXsP0cgPHypy429,Rejected by client,,,0.8,0.6,0.9,1.0,0.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subjects match 60% of the job requirements. The candidate has 90% of the skills required for the job position. The candidate can go to the job location. The candidate does not have the language required for the job."
33,rec3byfg3s4BHLGqf,recETHEgTGsGxaBPv,Rejected by client,-0.91,-56.0,0.8,0.9,0.9,1.0,1.0,"The candidate has relevant hardskills, degree subjects and language for the job. The candidate's location is also matched with the job location. Therefore, the candidate is highly qualified for the job."
34,rec3CHFVL6i5xl5IX,reczkFBZXTtSjNX96,Sent to Client,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 5 out of 6 hardskills required in the job description, and 3 out of 5 degree subjects required in the job description. The candidate has all the language required in the job description. However, the candidate's location does not match with the job location."
35,rec3dIme0mCAZVKYH,recMh3kDSANBvdJbu,Rejected by CP,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subjects covers 60% of the job requirement. The candidate has all the language required for the job, but the location does not match."
36,rec3j3GJqqaG6mjoK,recIa8aDuWkKPM8rx,Rejected by CP,,-0.5,0.5,0.8,0.7,1.0,1.0,The candidate has a hardskill in hunting which is related to the job position of business-development. The candidate has a degree in Action commerciale which covers most of the job requirements. The candidate can work in the job location of europe/france. The candidate can speak the language of fr which is required in the job.
37,,recONKansnIbXY6ij,Mission closed by client,,,0.8,0.6,0.9,1.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subjects are related to the job position. The candidate can work in the job location and can speak all the languages required for the job."
38,rec3UDIKDapizjpjG,recKmfrKT4uTpCS2x,Waiting list,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 5 out of 8 hardskills required for the job, and the degree subject covers some of the skills required for the job. The candidate has all the languages required for the job, but the location does not match with the job location."
39,rec3Zm1NBca1RI7uq,recMh3kDSANBvdJbu,Sent to Client,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, 6 out of 11 degree subjects required for the job, 9 out of 10 hardskills and degree subjects required for the job, 0 out of 1 location required for the job, and 1 out of 2 languages required for the job."
40,rec445AfBMgEp6rEV,rec1fLbPRArMKBz4D,Rejected by CP,,-0.8,0.8,0.6,0.7,0.0,1.0,"The candidate has a hardskill in sales which is related to the job position, and the candidate can speak the required language. However, the candidate's degree subjects are not related to the job requirements, and the candidate's location is not the same as the job location."
41,rec4dGgktzAhUSALE,recKmfrKT4uTpCS2x,Rejected by CP,,,0.75,0.5,0.9,0.0,1.0,"The candidate has driving license, management, marketing and sales hardskills which are related to the job requirements. The degree subject of the candidate is Business Administration which covers some of the job requirements. The candidate is capable of the job position as the hardskills and degree subjects are related to the job position. The candidate's location is not matched with the job location. The candidate's language is matched with the job language."
42,rec4INn4zLQsSN8nX,rec0t420QAE6AgEAn,Rejected by CP,-0.17,-0.5,0.5,0.8,0.7,0.0,1.0,"The candidate has .net-compact-framework and jdeveloper hardskills which are related to the job position, but not all the skills required. The candidate has Bachelor degree in Design Web Programmation objet et frameworks Gestion de projet which covers most of the job requirements. The candidate can speak French which is required for the job. The candidate's location is not matched with the job location."
43,rec4kZZ3hjlC8Mxun,recMh3kDSANBvdJbu,Sent to Client,,,0.8,0.5,0.7,0.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, which is 80% match. The candidate has a degree in Computer Science, which covers 50% of the job requirements. The candidate has 8 out of 10 hardskills and a degree in Computer Science, which is 70% match for the job position. The candidate is not located in the job location, so the location matching score is 0. The candidate can speak both English and Hindi, which is 100% match for the job language requirement."
44,rec4SMmUMa8OT2rdU,recMh3kDSANBvdJbu,Rejected by CP,,,0.8,0.5,0.7,1.0,1.0,The candidate has hardskills in Java which is related to the job requirement. The degree subject of the candidate is Nan which is not related to the job requirement. The candidate has experience in software development and software quality assurance which is related to the job position. The candidate can go to the job location. The candidate can speak both English and Hindi which is required for the job.
45,rec4SyYUjU2nn5zlh,rec6N2U5wJf7t3ySH,Rejected by CP,-0.03,-3.994,0.8,0.6,0.9,0.0,1.0,"The candidate has ignite-ux, pack-office, sig hardskills which are related to the job requirements. The degree subjects of the candidate covers some of the job requirements. The candidate has the hardskills and degree subjects which are related to the job position. The candidate's location is not matched with the job location. The candidate's language is matched with the job language."
46,rec4TOnVdc0ZADtgy,rec6N2U5wJf7t3ySH,Rejected by CP,-0.33,-0.0,0.8,0.6,0.9,1.0,0.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers 60% of the job requirement. The candidate has the experience and skills to fulfill the job position. The candidate can travel to the job location. However, the candidate can only speak 5 languages, while the job requires 6 languages."
47,rec4w5AaNa3vIukBK,recAtcVMDz425qUT3,Rejected by CP,,-0.5,0.8,0.5,0.7,0.0,1.0,"The candidate has 5 years of experience in data engineering or related field, BSc in Computer Science or similar, proven experience with Python, strong understanding of data warehousing, ETL processes, and data modelling, exposure to spreadsheet data pipelines, experience with Fintech companies, have an understanding how insurance works, experience with data visualisation tools, especially AWS QuickInsights, is a plus. The candidate can speak English which is the required language of the job. However, the candidate is not located in England, Wales or Scotland."
48,,recwe9VS4h7Qfkzjd,Mission closed by client,,,0.8,0.6,0.9,1.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subjects match 60% of the job requirements. The candidate has all the required language skills and is able to work in the required location."
49,rec5cyo27dqhUGxJG,recwMSrftJ7BbX5mZ,Rejected by CP,,-0.8286,0.8,0.5,0.7,0.0,1.0,The candidate has Python hardskill which is related to the job requirement. The candidate has MS degree which is related to the job requirement. The candidate has Python hardskill and MS degree which is related to the job position. The candidate's location is not matched with the job location. The candidate's language is matched with the job language.
50,rec5JEbnrl9wBzhtx,reczkFBZXTtSjNX96,Rejected by client,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 5 out of 6 hardskills required in the job description, and the degree subject covers some of the skills required in the job position. The candidate can speak the language required in the job, but the location does not match."
51,rec5QmMazJ6GT5pVa,recA3Ye1PMACJlO1Z,Rejected by CP,-0.56,-5.5,0.8,0.5,0.7,1.0,1.0,"Candidate has experience in AWS, GraphQL, Node.js which are required in the job. Candidate has Bachelor of Engineering degree which covers some of the skills required in the job. Candidate can work in the job locations. Candidate can speak the language required in the job."
52,rec5wYOeJIZ68u1J6,recJHwegfLPOBlDmf,Rejected by CP,,,0.8,0.6,0.7,0.0,1.0,"The candidate has 5 hardskills which are related to the job requirements, and the degree subject covers some of the job requirements. The candidate can speak all the required languages, but the location does not match with the job location."
53,rec5Yk8EhCcWRBO0w,recdN16e9aiTj0z3a,Rejected by client,,,0.8,0.6,0.9,0.0,1.0,"The candidate has hardskills related to the job requirements, such as business-development, communication, marketing, sales, and sales-management. The degree subject of the candidate is Digital Transformation of Businesses, which covers some of the skills required in the job requirements. The candidate is capable of the job position. The candidate's location is not matched with the job location. The candidate's language is matched with the job language."
54,rec5yqt3OcSYtLi7d,recUMYC6no6ATWX6U,Offer sent,-0.01,-1.7,0.8,0.5,0.7,1.0,1.0,"The candidate has hardskills related to the job requirements, such as office-365, sales, salesforce.com. The degree subjects of the candidate is nan, which is not related to the job requirements. The candidate has the ability to work in the job location, Europe. The candidate can speak all the languages required by the job, de,en,fr,it,pl."
55,rec6A71VLckkekRcg,recAtcVMDz425qUT3,Rejected by client,,-0.6,0.8,0.5,0.7,0.0,1.0,"The candidate has 3 out of 4 hardskills required, and the degree subject is related to the job position. The candidate's language is matched with the job language, but the location is not matched."
56,rec6D4nfcNYvavfb8,recwMSrftJ7BbX5mZ,Sent to Client,,-0.832,0.8,0.5,0.7,0.0,1.0,"The candidate has automation and test-automation hardskills which are related to the job requirements. The candidate has a degree in a related field which covers some of the job requirements. The candidate can speak the language required for the job. However, the candidate's location does not match the job location."
57,rec6FNehyv3hEEfQL,rec1fLbPRArMKBz4D,Sent to Client,,-0.1,0.8,0.6,0.9,1.0,1.0,"The candidate has leadership, negotiation and sales hardskills which are related to the job position. The degree subjects of the candidate are related to the job requirements. The candidate can go to the job location and speak the required language."
58,,rec9B1Iwayh8YU3pc,Sourced,,,0.8,0.6,0.9,1.0,1.0,"The candidate has hardskills related to the job requirements, and the degree subjects covers most of the job requirements. The candidate can work in the job location and can speak all the required languages."
59,rec6iOvmhYpVjdg80,recsld3DKqBhnW6rg,Mission closed by client,-0.29,-0.5,0.8,0.6,0.9,0.0,1.0,"The candidate has 2+ years experience in management consulting or data science, excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas, quantitative thinking and strong problem-solving skills, excellent communication skills and full fluency in English and Arabic, and collaborative mindsetset. The candidate has hardskills related to the job position, such as operations-management and saas. The candidate has degree subjects related to the job position, such as Advanced Master of Business Administration and Business Administration and Management. The candidate can speak all the required languages for the job. However, the candidate's location does not match with the job location."
60,,rec2Xnb1aA6Evh8id,Rejected by CP,,,0.8,0.6,0.9,1.0,1.0,"The candidate has 5 to 10 years of experience as a Full Stack developer, and has experience in a scale-up (at least 2 years). The candidate has mastered Ruby and/or Django (at least 2 years old). The candidate has experience in Back: Ruby, PostgreSQL, Heroku and Front: Typescript, React native, React. The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team. The candidate is French native/or professional level. The candidate's hardskills and degree subjects are related to the job requirements. The candidate's location is the same as the job location. The candidate can speak the language required by the job."
61,rec6KgoOQKoSQGLDO,recKmfrKT4uTpCS2x,Rejected by CP,,,0.8,0.6,0.7,0.0,1.0,"The candidate has driving license, leadership, management, marketing-communications and sales hardskills which are related to the job requirements. The candidate has Marketing Studies degree which covers some of the job requirements. The candidate has 0.7 position matching score because the candidate has some of the hardskills and degree subjects related to the job position. The candidate has 0 location matching score because the candidate's location is not the same as the job location. The candidate has 1 language matching score because the candidate can speak all the languages required by the job."
62,rec6s8RKRQJPImR6O,recGxlU3W94snVhuH,Rejected by client,,-5.5,0.8,0.5,0.7,0.0,0.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. However, the candidate's location does not match the job location, and the candidate does not speak the language required for the job."
63,rec6SzdF64ZaFjsZo,recUwquxTAuaSpYwc,Rejected by CP,,-9.0,0.8,0.6,0.7,0.0,1.0,"The candidate has 8 hardskills which are related to the job requirements, Executive MBA degree subject covers some of the job requirements, the candidate has 7 hardskills which are related to the job position, the candidate's location is not matched with the job location, the candidate's language is matched with the job language."
64,rec6wq0svJ6nP2ymx,rec7MvbTywFTvWryg,Rejected by CP,,-0.5,0.8,0.5,0.7,0.0,1.0,"The candidate has 8 out of 10 hardskills required by the job, and the degree subjects are related to the job. The candidate can speak all the languages required by the job, but the location is not matched."
65,,recMh3kDSANBvdJbu,Rejected by client 2nd round,,,0.8,0.9,0.7,0.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers all the job requirement. The candidate has 7 out of 10 hardskills and degree subjects required for the job position. The candidate's location does not match the job location. The candidate's language matches the job language."
66,rec766u42EkrqOJb6,recAtcVMDz425qUT3,Rejected by CP,,-0.5,0.75,0.5,0.8,0.0,1.0,"The candidate has 3 out of 4 hardskills required, and the degree subject is related to the job. The candidate has the language required, but the location is not matched."
67,rec7Bi29zeh1NNTDp,recI8ZjHBtBdkYS21,Sent to Client,,-0.5,0.8,0.5,0.7,0.0,0.0,"The candidate has sales hardskill which is related to the job position, so the hardskill matching score is 0.8. The candidate has no degree subjects, so the degree subjects matching score is 0.5. The candidate has sales hardskill which is related to the job position, so the position matching score is 0.7. The candidate's location is not matched with the job location, so the location matching score is 0. The candidate's language is not matched with the job language, so the language matching score is 0."
68,rec7CSaSOpwtcPcWg,recUMYC6no6ATWX6U,Sent to Client,,-2.4,0.8,0.5,0.7,0.0,1.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. The candidate can speak all the languages required for the job, but the location does not match."
69,rec7dyYHSL2d7e6IO,rec6N2U5wJf7t3ySH,Rejected by client,-0.03,-3.0,0.8,0.6,0.9,0.0,1.0,"The candidate has .net, ignite-ux, java, oracle, sap, sql-plus, vmware hardskills which are related to the job requirements. The degree subject DIRECTION of INFORMATION TECHNOLOGIES covers some of the job requirements. The candidate has a good technical level based on the hardskills and degree subject. The candidate can speak all the languages required by the job. However, the candidate's location is not matched with the job location."
70,rec7eVftKDyqe2EIZ,recsld3DKqBhnW6rg,Rejected by CP,,-7.9,0.8,0.5,0.7,1.0,1.0,"Candidate has 3 out of 4 hardskills required, degree subject is Commerce which is related to the job, candidate has 3 out of 4 skills required for the job position, candidate can go to the job location, candidate can speak both languages required for the job."
71,rec7j0nOC3naQbnrD,recdN16e9aiTj0z3a,Sent to Client,,-0.2,0.8,0.6,0.9,1.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subjects covers 6 out of 10 skills required for the job. The candidate's location is the same as the job location, and the candidate can speak all the languages required for the job."
72,rec7Km0jBBl1KdxsN,recObvBwoSTSuFEll,Rejected by client,,-1.0,0.5,0.8,0.7,1.0,1.0,"The candidate has some hardskills related to the job requirements, and the degree subjects covers most of the job requirements. The candidate can work in the job location and can speak the required language."
73,rec7pNzskjbOedBt2,recBNbiMFDkK5SgOv,Rejected by CP,,-0.2,0.8,0.6,0.9,1.0,1.0,"The candidate has experience in a foodtech environment and excellent sales, communication and negotiation skills. The candidate has experience as an SDR or Business Developer in a foodtech environment. The candidate speaks English and Mandarin and is proficient in the Hubspot CRM software. The candidate's degree subjects are related to the job requirements. The candidate can go to the job location. The candidate can speak all the required languages."
74,rec7QVOoePgWt85Nt,rec2jbStt0bBp170k,Rejected by CP,,,0.8,0.5,0.7,1.0,1.0,"Candidate has 3+ years of experience as a Graphic Designer, has a BA or higher in Graphic Design and/or Visual Communication, can speak both English and French, can go to France, and has HTML hardskill which is related to the job position."
75,rec7S4B015k4BjoVd,recu8QJacyAODTIeX,Mission closed by client,,,0.8,0.6,0.9,0.0,1.0,"The candidate has 8 out of 10 hardskills required in the job description, and the degree subject Political Science covers 60% of the job requirement. The candidate has all the language requirements and has 9 out of 10 hardskills required for the job position. However, the candidate's location does not match the job location."
76,rec7WQ2tEgqA2yPdd,recu8QJacyAODTIeX,Rejected by client,,,0.8,0.5,0.7,1.0,1.0,"The candidate has 5+ years of experience in B2B sales management, has leadership, PPC, analytics, communication, CRO, e-commerce and SaaS hardskills, has a degree in business management, can go to Europe/United Kingdom/England, and can speak English and an additional language among German, Spanish, Italian and Portuguese with full professional proficiency."
77,rec7Zx0tEx5kPB1No,rec0t420QAE6AgEAn,Screened by CP,-0.18,-3.4963,0.8,0.6,0.9,0.0,1.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject covers most of the job requirements. The candidate can speak all the languages required for the job, but the location does not match."
78,rec859nIlixJ5qnFW,recA3Ye1PMACJlO1Z,Rejected by CP,-0.28,-0.5,0.8,0.9,0.7,0.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers all the skills required for the job. The candidate has 7 out of 10 hardskills required for the job position, and the candidate can speak all the languages required for the job. However, the candidate's location does not match with the job location."
79,rec89hHTnNaf2g3A1,recwMSrftJ7BbX5mZ,Rejected by client,,-1.168,0.8,0.6,0.7,0.0,1.0,The candidate has Python hardskill which is related to the job requirement. The candidate has B.Tech degree which covers some of the job requirement. The candidate is capable of the job position. The candidate's location is not matched with the job location. The candidate's language is matched with the job language.
80,rec8aKpK3QezNFX61,recAtcVMDz425qUT3,Rejected by client,,-77.5,0.8,0.6,0.9,0.0,1.0,"The candidate has 4 out of the 7 required hardskills, and the degree subject is related to the job position. The candidate can speak the required language, but the location does not match."
81,rec8EIx4pU1shuKLx,recavhovBsS2p3eZO,Sent to Client,,,0.8,0.6,0.9,0.0,0.5,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject is related to the job. The candidate has all the hardskills and some of the degree subjects required for the job position. The candidate's location does not match the job location, but the candidate can speak two out of three languages required for the job."
82,rec8HSO03c63Hqdb7,rec25eM1zf8i9g7V4,Rejected by CP,,,0.5,0.8,0.7,0.0,1.0,The candidate has python and selenium hardskills which are related to the job requirement. The candidate has Bachelor of Engineering degree in computer science or IT which covers the job requirement. The candidate has 0.7 position matching score because the candidate has some related hardskills and degree subjects. The candidate has 0 location matching score because the candidate's location is not the same as the job location. The candidate has 1 language matching score because the candidate can speak all the languages required by the job.
83,rec8iiBI1SdCaTj9D,rec11F8d7djUmcYvT,Rejected by CP,,-0.0,0.8,0.5,0.7,1.0,1.0,"The candidate has a Bachelor or Master in business, and has experience in sales which is related to the job position. The candidate is located in the same country as the job location, and can speak both English and the local language which is required for the job. Therefore, the candidate is a good fit for the job."
84,rec8Jgcpsbq3wmvcE,recA3Ye1PMACJlO1Z,Rejected by CP,-0.14,-5.5,0.8,0.6,0.9,0.0,1.0,"The candidate has experience in 4 out of 5 required hardskills, and the degree subject covers most of the job requirement. The candidate has experience in the job position and can speak the required language, but the candidate's location does not match with the job location."
