,airtableId,jobStart,jobEnd,salaryMin,salaryMax,requirementsDescription,position,sectorExpMin,sectorExpMax,positionExpMin,positionExpMax,airtableId.1,missionId,availableFrom,availableUntil,minSalaryExpect,maxSalaryExpect,degreeSubject,status,missionCandidate,MissionCandidateHardSkills,missionCandidate.1,MissionCandidateLocations,mission,MissionLocations,missionCandidate.2,MissionCandidateLanguages,mission.1,MissionLanguages,Time_matching_score,Salary_matching_score,General_matching_score
55,recAtcVMDz425qUT3,2023-05-15,,75000.0,85000.0,"<p>They are looking for the person behind the data science. the candidate must be curious, collegial, hard-working individual with the vision to change the world. Critical questioning of key decisions and motivation to create efficient processes for clients and our company is crucial. He is humble, know when to ask for help, and enjoy learning alongside your colleagues. He take ownership and deliver results. This will makes a candidate the perfect Diesta team member!</p>
<p>Skills &amp; Experience needed:</p>
<ul class=""liste"">
<li>At least 5 years of experience in data engineering or related field</li>
<li>BSc in Computer Science or similar</li>
<li>Proven experience with Python</li>
<li>Strong understanding of data warehousing, ETL processes, and data modelling</li>
<li>Be a resident in England, Wales or Scotland</li>
<li>Be curious and reliable</li>
<li>Exposure to spreadsheet data pipelines.</li>
</ul>
<p>The wow factor (not required but the stuff we love to see!)</p>
<ul class=""liste"">
<li>Experience with Fintech companies</li>
<li>Have an understanding how insurance works</li>
<li>Experience with data visualisation tools, especially AWS QuickInsights, is a plus</li>
</ul>
",data-engineer,4.0,4.0,5.0,9.0,rec6A71VLckkekRcg,recAtcVMDz425qUT3,,,81000.0,,,Rejected by client,rec6A71VLckkekRcg,"databases,etl,etl-tools",,,,,rec6A71VLckkekRcg,en,recAtcVMDz425qUT3,en,,-0.6,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 3 out of 4 hardskills required, and the degree subject is related to the job position. The candidate's language is matched with the job language, but the location is not matched.""
    }"
56,recwMSrftJ7BbX5mZ,,,8320.0,12480.0,"<ul class=""liste"">
<li>Bachelor’s degree in Information Science, Computer Science, Computer Engineering, Mathematics, or related field, or 3 plus years of relevant work experience</li>
<li>Experience working with relational database structures, SQL and/or flat files and performing table joins, web crawling, and web development</li>
<li>Proficiency in one or more of the following programming languages: Java, C#, C++, or Python and  familiarity with Node.js</li>
<li>Experience working with commercial relational database systems such as electronic medical records or other clinical systems, client relationship management software, or accounting systems a plus</li>
<li>Familiar with various data management methodologies, data exploration techniques, data quality assurance practices, and data discovery/ visualization tools</li>
<li>Natural curiosity about what’s hidden in the data through exploration, attention to detail, and ability to see the big picture – similar to putting together a 10,000-piece puzzle</li>
<li>Ability to communicate your ideas (verbal and written) so that team members and clients can understand them</li>
<li>Share our values: growth, relationships, integrity, and true grit</li>
</ul>
",data-engineer,,,1.0,2.0,rec6D4nfcNYvavfb8,recwMSrftJ7BbX5mZ,,,0.0,,,Sent to Client,rec6D4nfcNYvavfb8,"automation,test-automation",,,recwMSrftJ7BbX5mZ,asia/india,rec6D4nfcNYvavfb8,en,recwMSrftJ7BbX5mZ,"en,hi",,-0.832,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has automation and test-automation hardskills which are related to the job requirements. The candidate has a degree in a related field which covers some of the job requirements. The candidate can speak the language required for the job. However, the candidate's location does not match the job location.""
    }"
57,rec1fLbPRArMKBz4D,,,48000.0,48000.0,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0.0,0.0,0.0,3.0,rec6FNehyv3hEEfQL,rec1fLbPRArMKBz4D,,,49000.0,,,Sent to Client,rec6FNehyv3hEEfQL,"leadership,negotiation,sales",,,rec1fLbPRArMKBz4D,europe/united-kingdom/city-of-london,rec6FNehyv3hEEfQL,"bg,en",rec1fLbPRArMKBz4D,en,,-0.1,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has leadership, negotiation and sales hardskills which are related to the job position. The degree subjects of the candidate are related to the job requirements. The candidate can go to the job location and speak the required language.""
    }"
58,rec9B1Iwayh8YU3pc,,,,,,merger-and-acquisition-analyst,,,,,rec6hYEp9jgwquUln,rec9B1Iwayh8YU3pc,,,,,Economics and Financial Engineering,Sourced,,,,,rec9B1Iwayh8YU3pc,europe/france/paris,rec6hYEp9jgwquUln,"ar,en,es,fr",,,,,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has hardskills related to the job requirements, and the degree subjects covers most of the job requirements. The candidate can work in the job location and can speak all the required languages.""
    }"
59,recsld3DKqBhnW6rg,2023-04-03,2023-08-10,85000.0,90000.0,"<p>WHAT YOU'LL NEED<br>
 2+ years experience in management consulting or data science<br>
 Excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas.<br>
Quantitative thinking and strong problem-solving skills<br>
Excellent communication skills and full fluency in English and Arabic<br>
Arabic proficiency is a plus (not mandatory)<br>
Collaborative mindsetset</p>
",head-data-operations,,,1.0,2.0,rec6iOvmhYpVjdg80,recsld3DKqBhnW6rg,2023-05-02,2023-05-02,90000.0,95000.0,"Advanced Master of Business Administration, Business Administration and Management",Mission closed by client,rec6iOvmhYpVjdg80,"operations-management,saas",,,recsld3DKqBhnW6rg,asia/united-arab-emirates/dubai,rec6iOvmhYpVjdg80,"ar,en",recsld3DKqBhnW6rg,"ar,en",-0.29,-0.5,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 2+ years experience in management consulting or data science, excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas, quantitative thinking and strong problem-solving skills, excellent communication skills and full fluency in English and Arabic, and collaborative mindsetset. The candidate has hardskills related to the job position, such as operations-management and saas. The candidate has degree subjects related to the job position, such as Advanced Master of Business Administration and Business Administration and Management. The candidate can speak all the required languages for the job. However, the candidate's location does not match with the job location.""
    }"
60,rec2Xnb1aA6Evh8id,,,60000.0,75000.0,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li><strong>5 to 10 years of experience as a Full Stack  developer</strong></li>
<li>Previous experience in**a scale-up (at least 2 years) **<br>
Stack to master:<br>
**Ruby **and/or **Django (at least 2 years old) **<br>
** **</li>
<li><strong>Back :  Ruby, PostgreSQL, Heroku</strong></li>
<li><strong>Front : Typescript , React native, React</strong><br>
** **</li>
<li>Proximity to Paris but not mandatory</li>
<li>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</li>
<li>The candidate must be **French native/or professional level **</li>
</ul>
",full-stack-developer,,,,,rec6isugRnLymYMAS,rec2Xnb1aA6Evh8id,,,,,,Rejected by CP,,,,,rec2Xnb1aA6Evh8id,europe/france/paris,rec6isugRnLymYMAS,fr,rec2Xnb1aA6Evh8id,fr,,,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 5 to 10 years of experience as a Full Stack developer, and has experience in a scale-up (at least 2 years). The candidate has mastered Ruby and/or Django (at least 2 years old). The candidate has experience in Back: Ruby, PostgreSQL, Heroku and Front: Typescript, React native, React. The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team. The candidate is French native/or professional level. The candidate's hardskills and degree subjects are related to the job requirements. The candidate's location is the same as the job location. The candidate can speak the language required by the job.""
    }"
61,recKmfrKT4uTpCS2x,,,24000.0,24000.0,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0.0,0.0,0.0,3.0,rec6KgoOQKoSQGLDO,recKmfrKT4uTpCS2x,,,,,Marketing Studies,Rejected by CP,rec6KgoOQKoSQGLDO,"driving-license,leadership,management,marketing-communications,sales",,,recKmfrKT4uTpCS2x,europe/poland,rec6KgoOQKoSQGLDO,"en,pl",recKmfrKT4uTpCS2x,"en,pl",,,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has driving license, leadership, management, marketing-communications and sales hardskills which are related to the job requirements. The candidate has Marketing Studies degree which covers some of the job requirements. The candidate has 0.7 position matching score because the candidate has some of the hardskills and degree subjects related to the job position. The candidate has 0 location matching score because the candidate's location is not the same as the job location. The candidate has 1 language matching score because the candidate can speak all the languages required by the job.""
    }"
62,recGxlU3W94snVhuH,,,55000.0,65000.0,"<p>This role is the lifeblood of new business for Qumin. You will be responsible for finding new business opportunities and bringing in new clients. Our goal for this hire is to find someone who is hungry to progress their career in sales and smash their targets.<br>
Your career progression is as important to us as it is to you, and we would like to see this role move into a leadership position.<br>
 <br>
-2+ year experience in a direct sales, partnerships or account growth role<br>
-Interest or experience in China and Chinese digital platforms<br>
-Ability to control a full sales-cycle from the initial stage of booking meetings to closing deals<br>
-Excellent presentation and communication skills<br>
-Ability to create and maintain fruitful long-term relationships with clients<br>
-Crafting compelling messaging to put across our value proposition succinctly<br>
-Team-player with a positive and energetic approach and the ability to handle rejection<br>
- University degree</p>
<p><strong>Nice to have:</strong><br>
-Experience using CRM software and cloud-based platforms<br>
-Mandarin as a first/second language would be fantastic<br>
-Great sense of humour</p>
",business-development-manager,,,,,rec6s8RKRQJPImR6O,recGxlU3W94snVhuH,,,0.0,65000.0,,Rejected by client,rec6s8RKRQJPImR6O,"management,project-management,sales,time-management",,,recGxlU3W94snVhuH,europe/united-kingdom/city-of-london,rec6s8RKRQJPImR6O,en,,,,-5.5,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. However, the candidate's location does not match the job location, and the candidate does not speak the language required for the job.""
    }"
63,recUwquxTAuaSpYwc,,,60000.0,70000.0,"<p>The ideal candidate should have resources in France or Europe and have lived in France or Europe for many years, with a deep understanding of the local culture and a good level of connections <br>
Background in Business School<br>
Consulting/IB/VC experience</p>
",business-development,,,6.0,9.0,rec6SzdF64ZaFjsZo,recUwquxTAuaSpYwc,2023-03-21,2023-03-31,150000.0,150000.0,Executive MBA,Rejected by CP,rec6SzdF64ZaFjsZo,"board-of-directors,innovation-research,leadership,licensing-agreements,mergers-amp-acquisitions,recruiting,sales,start-up-ventures",,,recUwquxTAuaSpYwc,europe/france,rec6SzdF64ZaFjsZo,"en,fr",recUwquxTAuaSpYwc,"en,fr,zh",,-9.0,"
    Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 hardskills which are related to the job requirements, Executive MBA degree subject covers some of the job requirements, the candidate has 7 hardskills which are related to the job position, the candidate's location is not matched with the job location, the candidate's language is matched with the job language.""
    }"
64,rec7MvbTywFTvWryg,,,45000.0,60000.0,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li>
<p>Min **2 years of experience **as a full stack developer or school exit (-<strong>Top engineering school – “Top 10”</strong>) -Info school (only Epita)</p>
</li>
<li>
<p>Proximity to Paris but not mandatory</p>
</li>
<li>
<p>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</p>
</li>
<li>
<p>The candidate must be native French (or professional level)</p>
</li>
<li>
<p><strong>Back :  Ruby, PostgreSQL, Heroku</strong></p>
</li>
<li>
<p><strong>Front : Typescript , React native, React</strong></p>
</li>
</ul>
",full-stack-developer,,,,,rec6wq0svJ6nP2ymx,rec7MvbTywFTvWryg,,,50000.0,,,Rejected by CP,rec6wq0svJ6nP2ymx,"css,html,javascript,python,react,ruby,typescript",,,rec7MvbTywFTvWryg,europe/france/paris,rec6wq0svJ6nP2ymx,"en,es,fr,ja",rec7MvbTywFTvWryg,fr,,-0.5,"
    Example Output:
    {
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.5,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 0,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 8 out of 10 hardskills required by the job, and the degree subjects are related to the job. The candidate can speak all the languages required by the job, but the location is not matched.""
    }"
65,recMh3kDSANBvdJbu,,,8320.0,12480.0,"<ul class=""liste"">
<li>B.S. (or equivalent through education/work) Computer Science, Engineering, or related field</li>
<li>Ability to communicate effectively</li>
<li>Creative problem-solving ability</li>
<li>Strong knowledge of software QA methodologies, tools and processes</li>
<li>Experience in writing clear, concise and comprehensive test plans and reports</li>
<li>Hands-on experience with both white box, and black box, performance, security and exploratory testing</li>
<li>Familiarity with session-based testing, heuristics and oracles</li>
<li>Hands-on experience with automated testing tools such as Cypress or Selenium</li>
<li>Solid knowledge of SQL and/or other scripting tools</li>
<li>Programming knowledge in JavaScript, Python, Golang or NetCore is desirable</li>
<li>Proven work experience in software development</li>
<li>Proven work experience in software quality assurance</li>
<li>Experience working in an Agile/ framework such as Kanban and Scrum</li>
</ul>
",qa-engineer,,,1.0,2.0,rec75ed6awIHlj79a,recMh3kDSANBvdJbu,2023-03-01,,,,Computer Science,Rejected by client 2nd round,,,,,recMh3kDSANBvdJbu,asia/india,rec75ed6awIHlj79a,"en,hi,mr",recMh3kDSANBvdJbu,"en,hi",,,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.9,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers all the job requirement. The candidate has 7 out of 10 hardskills and degree subjects required for the job position. The candidate's location does not match the job location. The candidate's language matches the job language.""
    }"
66,recAtcVMDz425qUT3,2023-05-15,,75000.0,85000.0,"<p>They are looking for the person behind the data science. the candidate must be curious, collegial, hard-working individual with the vision to change the world. Critical questioning of key decisions and motivation to create efficient processes for clients and our company is crucial. He is humble, know when to ask for help, and enjoy learning alongside your colleagues. He take ownership and deliver results. This will makes a candidate the perfect Diesta team member!</p>
<p>Skills &amp; Experience needed:</p>
<ul class=""liste"">
<li>At least 5 years of experience in data engineering or related field</li>
<li>BSc in Computer Science or similar</li>
<li>Proven experience with Python</li>
<li>Strong understanding of data warehousing, ETL processes, and data modelling</li>
<li>Be a resident in England, Wales or Scotland</li>
<li>Be curious and reliable</li>
<li>Exposure to spreadsheet data pipelines.</li>
</ul>
<p>The wow factor (not required but the stuff we love to see!)</p>
<ul class=""liste"">
<li>Experience with Fintech companies</li>
<li>Have an understanding how insurance works</li>
<li>Experience with data visualisation tools, especially AWS QuickInsights, is a plus</li>
</ul>
",data-engineer,4.0,4.0,5.0,9.0,rec766u42EkrqOJb6,recAtcVMDz425qUT3,,,80000.0,85000.0,MA Cantab (Mathematics),Rejected by CP,rec766u42EkrqOJb6,"data-analysis,data-science,insurance",,,,,rec766u42EkrqOJb6,en,recAtcVMDz425qUT3,en,,-0.5,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.75,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.8,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 3 out of 4 hardskills required, and the degree subject is related to the job. The candidate has the language required, but the location is not matched.""
    }"
67,recI8ZjHBtBdkYS21,,,30000.0,42000.0,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0.0,0.0,0.0,3.0,rec7Bi29zeh1NNTDp,recI8ZjHBtBdkYS21,,,35000.0,,,Sent to Client,rec7Bi29zeh1NNTDp,sales,,,recI8ZjHBtBdkYS21,europe/germany/berlin,rec7Bi29zeh1NNTDp,"de,zh",recI8ZjHBtBdkYS21,"de,en",,-0.5,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has sales hardskill which is related to the job position, so the hardskill matching score is 0.8. The candidate has no degree subjects, so the degree subjects matching score is 0.5. The candidate has sales hardskill which is related to the job position, so the position matching score is 0.7. The candidate's location is not matched with the job location, so the location matching score is 0. The candidate's language is not matched with the job language, so the language matching score is 0.""
    }"
68,recUMYC6no6ATWX6U,2023-05-01,2023-07-31,48000.0,68000.0,"<p>It is an advantage if you have experience with outbound and inbound sales activities and contacting potential customers via different channels<br>
You are convincing, strongly self-motivated and think entrepreneurially<br>
Self-confidence, communication, a high level of commitment and solution-oriented thinking are also among your strengths<br>
You can communicate fluently in written and spoken German and English.<br>
Our new office is in Munich Westend, inkl. Kicker, big terrace ​and ​bbq and loooots of space.</p>
",sales-development-representative,0.0,0.0,2.0,5.0,rec7CSaSOpwtcPcWg,recUMYC6no6ATWX6U,,,72000.0,,,Sent to Client,rec7CSaSOpwtcPcWg,"key-account-mangement,lead-generation,organizational-development,sales",,,recUMYC6no6ATWX6U,europe/germany,rec7CSaSOpwtcPcWg,"de,en",recUMYC6no6ATWX6U,"de,en,fr,it,pl",,-2.4,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 4 out of 5 hardskills required for the job, and the degree subject is related to the job. The candidate can speak all the languages required for the job, but the location does not match.""
    }"
69,rec6N2U5wJf7t3ySH,2023-04-03,,40000.0,70000.0,"<p>-Previous experience in <strong>a start-up (2-3 years)</strong> with a <strong>tech</strong> position with <strong>responsabilities</strong><br>
-Have an entrepreneur / startup mindset (likes taking risks)<br>
**-**Stayed at his previous positions for <strong>at least one year</strong><br>
-Experience with <strong>agronomic and technical issues</strong> (Vertical Farming)<br>
-Worked in greenhouse hydroponics.<br>
-All types of technology are accepted<br>
-Very good technical level based on hardware and software development experience in various technological environments<br>
-Knowledge of UX</p>
<p>Information for recruiters !</p>
<p>-Ideally, you should find a candidate who lives within 50 km of Cartagena!<br>
-If this is too complicated, find a candidate who is able to travel there often.<br>
-And if that's not possible, find a candidate who can travel there a few days a month.</p>
",cto,,,1.0,5.0,rec7dyYHSL2d7e6IO,rec6N2U5wJf7t3ySH,2023-03-31,2023-03-31,70000.0,100000.0,DIRECTION of INFORMATION TECHNOLOGIES. ,Rejected by client,rec7dyYHSL2d7e6IO,".net,ignite-ux,java,oracle,sap,sql-plus,vmware",rec7dyYHSL2d7e6IO,"europe,worldwide",rec6N2U5wJf7t3ySH,europe/spain,rec7dyYHSL2d7e6IO,"es,fr,it,pt",rec6N2U5wJf7t3ySH,"es,fr",-0.03,-3.0,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has .net, ignite-ux, java, oracle, sap, sql-plus, vmware hardskills which are related to the job requirements. The degree subject DIRECTION of INFORMATION TECHNOLOGIES covers some of the job requirements. The candidate has a good technical level based on the hardskills and degree subject. The candidate can speak all the languages required by the job. However, the candidate's location is not matched with the job location.""
    }"
70,recsld3DKqBhnW6rg,2023-04-03,2023-08-10,85000.0,90000.0,"<p>WHAT YOU'LL NEED<br>
 2+ years experience in management consulting or data science<br>
 Excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas.<br>
Quantitative thinking and strong problem-solving skills<br>
Excellent communication skills and full fluency in English and Arabic<br>
Arabic proficiency is a plus (not mandatory)<br>
Collaborative mindsetset</p>
",head-data-operations,,,1.0,2.0,rec7eVftKDyqe2EIZ,recsld3DKqBhnW6rg,,,6000.0,7000.0,Commerce,Rejected by CP,rec7eVftKDyqe2EIZ,"data-analysis,data-science,machine-learning",rec7eVftKDyqe2EIZ,middle-east,recsld3DKqBhnW6rg,asia/united-arab-emirates/dubai,rec7eVftKDyqe2EIZ,"ar,en",recsld3DKqBhnW6rg,"ar,en",,-7.9,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has 3 out of 4 hardskills required, degree subject is Commerce which is related to the job, candidate has 3 out of 4 skills required for the job position, candidate can go to the job location, candidate can speak both languages required for the job.""
    }"
71,recdN16e9aiTj0z3a,,,30000.0,42000.0,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0.0,0.0,0.0,3.0,rec7j0nOC3naQbnrD,recdN16e9aiTj0z3a,,,32000.0,,,Sent to Client,rec7j0nOC3naQbnrD,"microsoft-excel,purchase-management,purchasing,sales,sales-operations,sales-process,strategy,vendor-contracts,vendor-management,vendor-relationship-management,vendors",,,recdN16e9aiTj0z3a,europe/spain/madrid,rec7j0nOC3naQbnrD,"ar,en,es,pt",recdN16e9aiTj0z3a,"en,es",,-0.2,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 out of 10 hardskills required for the job, and the degree subjects covers 6 out of 10 skills required for the job. The candidate's location is the same as the job location, and the candidate can speak all the languages required for the job.""
    }"
72,recObvBwoSTSuFEll,,,37000.0,50000.0,"<ul class=""liste"">
<li>2-3 ans ou + d’expérience en tant qu’ingénieur conseil</li>
<li>Avoir fait de l’audit</li>
<li>Expérience dans la CVC  (Chauffage, ventilation et climatisation) ou thermique du bâtiment</li>
<li>Volonté de travailler dans une jeune entreprise en forte croissance</li>
<li>Très bon relationnel, parfaitement à l’aise dans son expression écrite et orale</li>
<li>Réel intérêt pour le monde de l’énergie et volonté d’accélérer la transition énergétique des entreprises et des collectivités</li>
</ul>
",others,,,3.0,5.0,rec7Km0jBBl1KdxsN,recObvBwoSTSuFEll,2023-03-31,2023-04-30,47000.0,,(BAC +6) en management de projet de construction durable ,Rejected by client,rec7Km0jBBl1KdxsN,"excel-dashboards,sage",rec7Km0jBBl1KdxsN,europe,recObvBwoSTSuFEll,europe/france/paris,rec7Km0jBBl1KdxsN,"en,fr",recObvBwoSTSuFEll,fr,,-1.0,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has some hardskills related to the job requirements, and the degree subjects covers most of the job requirements. The candidate can work in the job location and can speak the required language.""
    }"
73,recBNbiMFDkK5SgOv,2023-04-11,,40000.0,40000.0,"<ul class=""liste"">
<li>Have experience in a foodtech environment</li>
<li>Have excellent sales, communication and negotiation skills</li>
<li>Already have experience as an SDR or Business Developer (If possible in a foodtech environment)</li>
<li>Speak English and Mandarin (even better if the candidate speaks French too!)</li>
<li>(Bonus points) Proficient in the Hubspot CRM software</li>
</ul>
",sales-manager,1.0,1.0,1.0,5.0,rec7pNzskjbOedBt2,recBNbiMFDkK5SgOv,,,42000.0,46000.0,,Rejected by CP,rec7pNzskjbOedBt2,.com,rec7pNzskjbOedBt2,europe/france,recBNbiMFDkK5SgOv,europe/france/paris,rec7pNzskjbOedBt2,zh,recBNbiMFDkK5SgOv,zh,,-0.2,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has experience in a foodtech environment and excellent sales, communication and negotiation skills. The candidate has experience as an SDR or Business Developer in a foodtech environment. The candidate speaks English and Mandarin and is proficient in the Hubspot CRM software. The candidate's degree subjects are related to the job requirements. The candidate can go to the job location. The candidate can speak all the required languages.""
    }"
74,rec2jbStt0bBp170k,2023-04-01,2023-06-01,35000.0,40000.0,"<p>-3+ years of experience as a Graphic Designer in either an in-house, agency or freelance setting<br>
-Ideally a BA or higher in Graphic Design and/or Visual Communication<br>
-English and French</p>
",graphic-designer,2.0,2.0,3.0,5.0,rec7QVOoePgWt85Nt,rec2jbStt0bBp170k,,,,,,Rejected by CP,rec7QVOoePgWt85Nt,html,rec7QVOoePgWt85Nt,europe/france,,,rec7QVOoePgWt85Nt,fr,rec2jbStt0bBp170k,"en,fr",,,"
    Example Output:
    {
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""Candidate has 3+ years of experience as a Graphic Designer, has a BA or higher in Graphic Design and/or Visual Communication, can speak both English and French, can go to France, and has HTML hardskill which is related to the job position.""
    }"
