,missionCandidate,missionId,status,Time_matching_score,Salary_matching_score,General_matching_score_dict,matchingId
10,rec0x1TasOk6bHSiR,reckP2haWFD9xplVj,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.9,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has 8 out of 9 hardskills required in the job description, and the degree subject covers all the job requirement. The candidate has some of the hardskills and degree subjects required for the job position, but not all. The candidate's location matches the job location. The candidate's language does not match the job language.""
    }",10
11,rec0X28U5DFjwVB2G,recLaxiCREBzTpmDO,Rejected by CP,,-0.4,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 2 out of 3 hardskills required for the job, their degree subjects cover most of the job requirements, they have the language skills required for the job, and they can work in the job location.""
    }",11
12,rec10XB9YYbJmFsYA,rect4fduNiqcXC123,Interview Process,-0.06,-1.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has strong experience in Outbound Sales and a first experience as a manager, which matches the job requirements. The candidate has a degree in International Business, which covers some of the skills required in the job. The candidate has the hardskills and degree subjects to match the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job.""
    }",12
13,rec137G1mig6nZrkI,recsld3DKqBhnW6rg,Rejected by CP,-0.21,-0.65,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.9,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 2+ years experience in management consulting or data science, excellent analytical skills and ability to leverage data, metrics, analytics to generate insights creative ideas, quantitative thinking and strong problem-solving skills, excellent communication skills and full fluency in English and Arabic, and collaborative mindset. The candidate has hardskills of hive, java, Microsoft SQL Server, object-oriented languages, and python which are related to the job position of head-data-operations. The candidate has a degree in Computer Science which covers the skills required in the job position. The candidate can go to the job location of Asia/United Arab Emirates/Dubai. The candidate can speak the language of English and Arabic which are required in the job.""
    }",13
14,rec1ELGXcgw4I5HPi,recnBWL7L2B5oicAV,Rejected by client,-0.61,-1.2,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has hardskills related to the job requirements, such as energy, energy-audits, energy-conservation. The degree subject of the candidate is Energy Markets, which covers some of the job requirements. The candidate has experience in business-development, which is the job position. The candidate can go to the job location, Europe/France. The candidate can speak the language required by the job, French.""
    }",14
15,rec1gO76DygLR1LLn,recDD8JBa77gVncOf,Rejected by client,,-0.75,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 4 out of 5 hardskills required by the job, and the candidate's location and language are matched with the job's location and language.""
    }",15
16,rec1HL9iQwL50uUnO,recAczNwH7Yk3tM2z,Rejected by client,,-1.0,"{
    ""Hardskill_Matching_Score"": 0.75,
    ""Degree_Subjects_Matching_Score"": 0.5,
    ""Position_Matching_Score"": 0.75,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 3 out of 4 hardskills required for the job, has a degree in International Trade which covers some of the job requirements, has a driving license and is willing to travel, and speaks all the languages required for the job.""
    }",16
17,rec1kBBtHtKA304Z4,recAtcVMDz425qUT3,Rejected by client,,-0.0,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.9,
    ""Position_Matching_Score"": 0.9,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has 5 years of experience in data engineering or related field, BSc in Computer Science or similar, proven experience with Python, strong understanding of data warehousing, ETL processes, and data modelling, exposure to spreadsheet data pipelines, experience with Fintech companies, have an understanding how insurance works, experience with data visualisation tools, especially AWS QuickInsights, is a plus. The candidate is located in Europe/United Kingdom and can speak English. Therefore, the hardskill matching score is 0.8, degree subjects matching score is 0.9, position matching score is 0.9, location matching score is 1, language matching score is 1.""
    }",17
18,rec1mIGi8qrfBetmy,recwMSrftJ7BbX5mZ,Rejected by CP,,-0.332,"{
    ""Hardskill_Matching_Score"": 0.8,
    ""Degree_Subjects_Matching_Score"": 0.6,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 0,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has two hardskills which are related to the job requirements, and the candidate has a degree in a related field. The candidate can speak all the languages required for the job, but the candidate's location does not match the job location.""
    }",18
19,,recGrGIFWaByaa5dg,Mission closed by client,,-1.1,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 8 years of experience in growth hacking/marketing role in e-commerce industry, which is close to the job requirement. The candidate has a degree in marketing, which covers the skills required in the job. The candidate can speak all the languages required in the job. However, the candidate is located in a different country than the job location, so the location matching score is 0.""
    }",19
